text,sentiment,source,idiom,contrast_marker
chris christie suggests hillary clinton was to blame for boko haram's kidnapping of hundreds of schoolgirls,1,sarcasm_headlines,,
bill clinton shoots down republicans: 'i strongly supported' obamacare,1,sarcasm_headlines,,
things learned in the first month of having a baby,1,sarcasm_headlines,,
10 essential life lessons from a grandma,1,sarcasm_headlines,,
"we're still processing that ending to the walking dead ""strangers""",1,sarcasm_headlines,,
friday talking points -- prelude to silly season,1,sarcasm_headlines,,
want to make meetings more productive? start walking,1,sarcasm_headlines,,
when the sheep are watching over your mind,1,sarcasm_headlines,,
sleater-kinney just made bowie's 'rebel rebel' the political anthem of 2017,1,sarcasm_headlines,,
historical archives: amazing publick spectacle!,0,sarcasm_headlines,,
department of agriculture locates perfect goat,0,sarcasm_headlines,,
rubio and cruz have 'anti-lgbt' advisory boards. where is trump's?,1,sarcasm_headlines,,
asu + gsv report: teachers and tech tools,1,sarcasm_headlines,,
what your movements may reveal about how you'll get along with another person,1,sarcasm_headlines,,
obama finally tells rambling tom vilsack to shut the fuck up during cabinet meeting,0,sarcasm_headlines,,
new rule from obama will punish contractors who cheat or endanger workers,1,sarcasm_headlines,,
how an essay on 'sexual paranoia' caused a frenzy at northwestern university,1,sarcasm_headlines,,
things come apart so easily: asghar farhadi's about elly,1,sarcasm_headlines,,
"brilliant, innovative ceo just wrote words 'social media' on whiteboard and underlined it",0,sarcasm_headlines,,
joe biden slams donald trump: 'he would have loved stalin',1,sarcasm_headlines,,
how to criticize your kids without ruining their self-esteem,1,sarcasm_headlines,,
a personal memory of former governor mario cuomo,1,sarcasm_headlines,,
"audra mcdonald, kirsten gillibrand to celebrate the lgbtq community in nyc",1,sarcasm_headlines,,
supreme court justice sotomayor continues duties after breaking shoulder,1,sarcasm_headlines,,
meryl streep looks exactly like the 'shrek' fairy godmother at the oscars,1,sarcasm_headlines,,
aspen ideas festival 2015,1,sarcasm_headlines,,
women reveal the real purpose of workout clothes,1,sarcasm_headlines,,
this d.c. restaurant just sued trump and his hotel for unfair competition,1,sarcasm_headlines,,
jeb bush calls for crackdown on sanctuary cities in immigration plan,1,sarcasm_headlines,,
images show that saturn's north polar region has changed color,1,sarcasm_headlines,,
"hey, remember when bernie sanders played a rabbi in a rom-com?",1,sarcasm_headlines,,
here's the new sexy carl's jr. super bowl commercial,1,sarcasm_headlines,,
lebanon's ex-pm says he will return amid claims he was being held captive by saudis,1,sarcasm_headlines,,
uneventful past finally catches up to boring man,0,sarcasm_headlines,,
this teacher remixes rap songs like 'bad and boujee' to teach history lessons,1,sarcasm_headlines,,
here's how much betsy devos and her family spent to back the gop senators who confirmed her,1,sarcasm_headlines,,
gwen stefani bares her soul performing 'i used to love you' at the amas,1,sarcasm_headlines,,
death to shoppers? al-shabaab and the fracturing of international jihadism,1,sarcasm_headlines,,
russell simmons leads 'i am a muslim too' rally in new york,1,sarcasm_headlines,,
"norman lear, common, shonda rhimes to explore inequality in epix documentary series",1,sarcasm_headlines,,
the daily szep- gop circus,1,sarcasm_headlines,,
chance the rapper unboxing his grammys with his daughter is too cute for words,1,sarcasm_headlines,,
"guys, someone edited chris farley into the 'mission: impossible' trailer",1,sarcasm_headlines,,
north korea fires short-range missile along its coast,1,sarcasm_headlines,,
"here's the poop on antarctica's secret penguin society, population 1.5 million",1,sarcasm_headlines,,
kathy griffin drops f-bomb while taking back her apology to trump,1,sarcasm_headlines,,
"dad recounts amazing story of how, through quick thinking, he saved $4.27",0,sarcasm_headlines,,
trump celebrates national parks — after proposing to slash their funding,1,sarcasm_headlines,,
americans say 2-to-1 that we never should have invaded iraq,1,sarcasm_headlines,,
does policing summons warrants really prevent serious crime?,1,sarcasm_headlines,,
gleeful kate mckinnon unleashes her inner robert mueller on 'snl',1,sarcasm_headlines,,
a millennial dad's tech divide,1,sarcasm_headlines,,
these drag superstars are searching for the world's first drag supermonster,1,sarcasm_headlines,,
save women's lives - end the helms overreach,1,sarcasm_headlines,,
trump uses rnc funds to pay for his russia defense -- thanks to hillary clinton's lawyer,1,sarcasm_headlines,,
pope francis has a very clear message for 'christians' who build walls,1,sarcasm_headlines,,
gratitude for the smartwatch,1,sarcasm_headlines,,
clay aiken gained 30 pounds eating bojangles chicken during his campaign,1,sarcasm_headlines,,
loyal dog waits patiently for 7 whole days for owner to come home,1,sarcasm_headlines,,
justin timberlake wants his son to be inspired by charlottesville's strength,1,sarcasm_headlines,,
cameron diaz finally opens up about generally positive experience in show business,0,sarcasm_headlines,,
"huffpollster: sorry bernie fans, a sanders comeback is unlikely",1,sarcasm_headlines,,
"stop talking about 'screen time,' start thinking about screen use",1,sarcasm_headlines,,
"thousands protest peacefully in baltimore, and many lend a helping hand",1,sarcasm_headlines,,
"homeless pitbull couldn't stop trembling, until someone showed her love",1,sarcasm_headlines,,
was there a villain in the 2014 election?,1,sarcasm_headlines,,
the shocking transformations of your favorite country stars,1,sarcasm_headlines,,
st. vincent will direct film adaptation of 'dorian gray' with female lead,1,sarcasm_headlines,,
the 9 amazing spring cleaning tips all dog owners should know,1,sarcasm_headlines,,
intelligence officials can't say how many americans they spy on,1,sarcasm_headlines,,
"dog, cat and squirrel drama escalates in a hurry",1,sarcasm_headlines,,
fda warns another company about unapproved consumer genetic tests,1,sarcasm_headlines,,
"trademarks show amazon has sights on meal-kits, 'single cow burgers' and other fast food options",1,sarcasm_headlines,,
my life in soaps,1,sarcasm_headlines,,
word origin comics: the abc's of education,1,sarcasm_headlines,,
kris jenner turned all the way up for drunken valentine's day karaoke,1,sarcasm_headlines,,
recapping the women's college advantage,1,sarcasm_headlines,,
12 times anna kendrick said exactly what you were thinking,1,sarcasm_headlines,,
greg hardy unapologetically denies domestic abuse allegations,1,sarcasm_headlines,,
former refugee fights for her dream to abolish female genital mutilation in somalia,1,sarcasm_headlines,,
how to break your internet addiction,1,sarcasm_headlines,,
